epoch,train_loss,test_accuracy
20,0.235409,0.988532
21,0.181675,0.993578
22,0.280183,0.989450
23,0.202648,0.991284
24,0.167631,0.986697
25,0.152198,0.993119
26,0.288228,0.991284
27,0.133221,0.984862
28,0.220308,0.991743
29,0.150671,0.991284
30,0.174842,0.987156
31,0.186322,0.991743
32,0.220611,0.990367
33,0.310191,0.990826
34,0.265880,0.989450
35,0.223307,0.992661
36,0.169150,0.988532
37,0.177987,0.992202
38,0.169580,0.992661
39,0.109092,0.989908
40,0.210118,0.993578
41,0.099110,0.994037
42,0.173092,0.987615
43,0.229484,0.991284
44,0.517876,0.992202
45,0.113850,0.991743
46,0.259325,0.990367
47,0.190673,0.992661
48,0.163209,0.986697
49,0.219664,0.987615
50,0.246760,0.990367
51,0.123363,0.994495
52,0.124266,0.990367
53,0.212333,0.990826
54,0.325412,0.988073
55,0.411881,0.988073
56,0.266116,0.988991
57,0.166226,0.987156
58,0.124823,0.983945
59,0.163587,0.986697
60,0.094744,0.988991
61,0.381549,0.988991
62,0.144814,0.982569
63,0.122856,0.985780
64,0.310155,0.992661
65,0.151957,0.981651
66,0.102546,0.988073
67,0.178677,0.994037
68,0.134579,0.990826
69,0.238710,0.991743
70,0.106034,0.990826
71,0.262561,0.989450
72,0.150058,0.989450
73,0.210807,0.989450
74,0.112338,0.991284
75,0.105612,0.992661
76,0.207782,0.991743
77,0.195247,0.988532
78,0.216108,0.986697
79,0.132144,0.983028
80,0.051849,0.986697
81,0.088089,0.990367
82,0.153241,0.992202
83,0.226231,0.985780
84,0.079969,0.989450
85,0.347008,0.987615
86,0.112693,0.988991
87,0.217069,0.989450
88,0.156884,0.987156
89,0.215564,0.983486
90,0.127475,0.984862
91,0.311202,0.994037
92,0.183412,0.993578
93,0.111947,0.995413
94,0.252349,0.987615
95,0.169403,0.986239
96,0.074372,0.991284
97,0.153000,0.990826
98,0.088287,0.992202
99,0.119012,0.992661
100,0.295853,0.993119
